x: 1,0000	f: 0,4200
x: 1,1000	f: 0,3592
x: 1,2000	f: 0,3050
x: 1,3000	f: 0,2574
x: 1,4000	f: 0,2162
x: 1,5000	f: 0,1807
x: 1,6000	f: 0,1505
x: 1,7000	f: 0,1250
x: 1,8000	f: 0,1036
x: 1,9000	f: 0,0856
x: 2,0000	f: 0,0707
x: 2,1000	f: 0,0582
x: 2,2000	f: 0,0479
x: 2,3000	f: 0,0394
x: 2,4000	f: 0,0324
x: 2,5000	f: 0,0266
x: 2,6000	f: 0,0218
x: 2,7000	f: 0,0179
x: 2,8000	f: 0,0147
x: 2,9000	f: 0,0120
x: 3,0000	f: 0,0099
x: 3,1000	f: 0,0081
x: 3,2000	f: 0,0066
x: 3,3000	f: 0,0054
x: 3,4000	f: 0,0044
x: 3,5000	f: 0,0036
x: 3,6000	f: 0,0030
x: 3,7000	f: 0,0024
x: 3,8000	f: 0,0020
x: 3,9000	f: 0,0016
x: 4,0000	f: 0,0013
x: 4,1000	f: 0,0011
x: 4,2000	f: 0,0009
x: 4,3000	f: 0,0007
x: 4,4000	f: 0,0006
x: 4,5000	f: 0,0005
x: 4,6000	f: 0,0004
x: 4,7000	f: 0,0003
x: 4,8000	f: 0,0003
x: 4,9000	f: 0,0002
x: 5,0000	f: 0,0002
x: 5,1000	f: 0,0001
x: 5,2000	f: 0,0001
x: 5,3000	f: 0,0001
x: 5,4000	f: 0,0001
x: 5,5000	f: 0,0001
x: 5,6000	f: 0,0001
x: 5,7000	f: 0,0000
x: 5,8000	f: 0,0000
x: 5,9000	f: 0,0000
x: 6,0000	f: 0,0000
x: 6,1000	f: 0,0000
x: 6,2000	f: 0,0000
x: 6,3000	f: 0,0000
x: 6,4000	f: 0,0000
x: 6,5000	f: 0,0000
x: 6,6000	f: 0,0000
x: 6,7000	f: 0,0000
x: 6,8000	f: 0,0000
x: 6,9000	f: 0,0000
x: 7,0000	f: 0,0000
x: 7,1000	f: 0,0000
x: 7,2000	f: 0,0000
